id,time_index,positive,strong,positive_pred1,strong_pred1
7036548193076726568,745,0,0,0.0439775817249131,0.1293940357339898
7036549296094841615,1200,1,1,0.0363389413329527,0.3009781699935888
7036550372629957410,676,0,0,0.0287388280950222,0.0554936774594754
7036550372629957410,925,0,0,0.0322808618929569,0.1134968002196852
7036554379562453796,973,0,0,0.0390684874373368,0.0724991561534202
7036556924350892813,637,0,0,0.0616657968233776,0.2069654631006356
7036556924350892813,642,0,0,0.0518115974007143,0.1320114719773843
7036557805758810916,703,0,0,0.0679944373344476,0.3285342958196556
7036557805758810916,895,0,0,0.0921292689733572,0.4503873683604356
7036557805758810916,1198,0,1,0.1369934476088055,0.3949266613886972
7036557805758810916,1200,0,0,0.0533690605644633,0.1839476724823061
7036557805758810916,1304,0,0,0.0534162748572482,0.1911087874571592
7036563226439519009,262,0,0,0.0186887558404722,0.1414519840683567
7036563226439519009,466,0,0,0.0147234859901097,0.0106731702866357
7036563226439519009,493,0,0,0.0452049176667203,0.0789191344198719
7036563226439519009,617,0,0,0.0433380544026699,0.0486868892717184
7036563226439519009,824,0,0,0.0906419911618581,0.0072040581118742
7036563731882478368,159,0,0,0.0425851166837549,0.079663361809602
7036563731882478368,251,0,0,0.0740254037596521,0.2279460207622066
7036563731882478368,383,0,0,0.0340987699159627,0.1570645027345125
7036563731882478368,654,0,0,0.0970146502750605,0.0884972123507901
7036563731882478368,804,0,0,0.0501697475019132,0.2405690287609223
7036563999684561677,13,0,0,0.0975732107139854,0.0884097432731325
7036563999684561677,27,1,0,0.0856600323955634,0.0940471780697832
7036578470990793486,29,0,0,0.050963310195372,0.0530067750190714
7036578470990793486,193,0,0,0.0894456744852524,0.5243085561131007
7036578470990793486,194,0,1,0.2320586341431991,0.654979653245154
7036578470990793486,312,0,0,0.1058448117405107,0.2930039441572817
7036578935005711138,519,0,0,0.0300353634796263,0.3146985830459174
7036578935005711138,969,1,0,0.0933245187797831,0.2781272694710273
7036578999094594317,184,0,0,0.0591319324848478,0.0431016096397606
7036578999094594317,220,0,0,0.0243935642470117,0.0480220212946291
7036581530634423053,219,0,0,0.0344539513429871,0.0321375425615622
7036581530634423053,367,0,0,0.0435468948824959,0.3115758717216991
7036581530634423053,415,0,0,0.0430431400652609,0.2106507111778726
7036582613599275808,462,1,0,0.0341093344696097,0.0654331064944494
7036582613599275808,589,0,0,0.0286395777238609,0.0327428689340973
7036582613599275808,627,0,0,0.0458651963619446,0.0652988300041631
7036582613599275808,842,0,0,0.0281553235774221,0.0348705489186956
7036582613599275808,1090,0,0,0.033464784757489,0.0999208196471626
7036582613599275808,1116,1,0,0.0365633935436675,0.0400057465037305
7036586346886351656,69,0,0,0.0416708342296297,0.0466824584451399
7036586346886351656,248,0,0,0.0342367805500071,0.095571401781032
7036586346886351656,597,0,0,0.0461374911951539,0.0592743030763069
7036587108739648290,591,0,0,0.0573335339119861,0.2650337177840781
7036595453579856680,117,0,0,0.0200382467355251,0.3352342729454226
7036595453579856680,183,0,0,0.0296173623199937,0.4010546154042839
7036595934867901199,328,0,1,0.035458848717362,0.3480817477276638
7036596206306347814,94,0,0,0.0736137295136281,0.0298563652358391
7036596206306347814,432,0,0,0.0003423894734265,0.0286090182542352
7036596206306347814,484,0,0,0.0532650630373263,0.0516728313417306
7036596206306347814,511,0,0,0.0013847251878234,3.4747243504994256e-05
7036596206306347814,1138,0,0,0.0186196361166193,0.0236875783371602
7036598255027063592,339,0,0,0.1035734780280832,0.2347709694996656
7036598255027063592,550,0,0,0.0301406096150975,0.2117081972138017
7036602079175084835,88,0,0,0.0472140280544431,0.0607162130912405
7036602079175084835,299,0,0,0.1451515176575364,0.2594260318838233
7036602079175084835,406,0,0,0.0252469489384213,0.2505812416497619
7036610053188717323,348,0,0,0.1107981739617837,0.1038451140787598
7036610489195285287,48,0,0,0.0591020277114342,0.2996260420282348
7036611967980817166,251,1,0,0.0496800326896347,0.098289112396336
7036613991208209155,409,0,0,0.0919027902313986,0.5149728414548328
7036613991208209155,414,0,0,0.054742134044861,0.0685686166272328
7036613991208209155,1110,0,0,0.0290110516077369,0.0732982443290004
7036617855626283807,637,0,0,0.0581285499794693,0.0964223159158015
7036617855626283807,717,0,0,0.0672437595105165,0.0937560882093652
7036619688906197760,640,0,0,0.0956980287414523,0.457610838565463
7036619688906197760,1069,1,1,0.0361017987592564,0.0416493686964707
7036624881877781251,346,1,0,0.119598588980732,0.2254870696249973
7036624881877781251,693,0,0,0.060812237059507,0.0281290253850899
7036624881877781251,1127,0,0,0.0412668769179129,0.0926033676155516
7036625789080996621,2,0,0,0.0675756701795508,0.0267551668744916
7036625789080996621,164,0,0,0.0502861388204463,0.0429398240103541
7036625789080996621,194,0,0,0.0828627361014887,0.0663662939367674
7036625940843186956,343,0,0,0.0288444797203116,0.4241274227088387
7036625940843186956,464,0,1,0.0237900363418336,0.2018872377245951
7036629540721953548,52,0,0,0.0009069445413614,0.0013602871575893
7036633124196944680,412,0,0,0.0519279969953818,0.0529472626282102
7036633124196944680,682,0,0,0.0400284106292708,0.1660582217661461
7036634992604482342,178,0,0,0.0203636818169614,0.1450348400611371
7036634992604482342,214,1,0,0.0518692033025071,0.0919885684840536
7036640958607936287,117,0,0,0.1227499311055464,0.0307655977547217
7036641754829196039,40,0,0,0.0281713994740367,0.0358694895403618
7036641754829196039,378,0,0,0.0525069754825218,0.2364671434572196
7036645343892261662,237,0,0,0.041872847708637,0.41220820470983
7036645343892261662,637,0,0,0.0174776565680485,0.3975100446952093
7036645343892261662,797,0,0,0.0282645942358528,0.6043484044713616
7036654842760219433,56,0,0,0.0322433631967567,0.1424834150774717
7036654842760219433,197,0,1,0.0507415091941998,0.2624553679691253
7036654842760219433,1276,0,0,0.0559079331892869,0.2295046507592174
7036654842760219433,1286,0,0,0.0474944020575124,0.3300844985516095
7036654842760219433,1342,0,0,0.0612814320123274,0.2516855289688601
